"","Lot Area","Overall Qual","Year Remod/Add","Gr Liv Area","TotRms AbvGrd","Garage Area","Yr Sold","Sale Type","SalePrice (Thousands)"
"49",7658,9,2005,1752,6,576,2010,"WD ",319.9
"50",7132,8,2006,1370,6,484,2010,"WD ",205
"51",2628,7,2003,1626,6,474,2010,"WD ",175.5
"52",18494,6,2005,1324,6,430,2010,"WD ",199.5
"53",3203,7,2006,1145,6,437,2010,"WD ",160
"54",3182,8,2005,1269,6,430,2010,"WD ",192
"55",13300,7,2004,1374,7,400,2010,"WD ",184.5
"56",7851,6,2002,1960,8,440,2010,"WD ",216.5
"57",8577,7,2004,1733,7,433,2010,"WD ",185.088
"58",7750,7,2000,1430,7,400,2010,"WD ",180
"59",9505,7,2001,2035,8,434,2010,"WD ",222.5
"60",14774,9,1999,2599,10,779,2010,"WD ",333.168
"61",17433,8,1998,2475,7,962,2010,"WD ",355
"62",10593,7,1996,1720,7,527,2010,"WD ",260.4
"63",12256,8,1995,2622,9,712,2010,"WD ",325
"64",11764,8,2007,2270,9,671,2010,"WD ",290
"65",16770,7,1998,1839,7,486,2010,"WD ",221
"66",14720,8,1996,3238,9,666,2010,"WD ",410
"67",8987,8,2006,1595,6,880,2010,"WD ",221.5
"68",9215,7,2010,1218,4,676,2010,"New",204.5
"69",8640,7,2009,1547,7,614,2010,"Con",215.2
"70",9000,8,2008,1566,7,750,2010,"WD ",262.5
"71",12552,7,2005,1947,8,678,2010,"WD ",254.9
"72",10440,6,2005,1468,6,528,2010,"WD ",271.5
"73",10142,7,2004,2084,8,618,2010,"WD ",233
"74",11920,7,2004,1659,8,484,2010,"WD ",181
"75",8880,7,2002,2110,8,463,2010,"WD ",205
"76",8012,6,1980,923,5,264,2010,"WD ",143
"77",11218,6,1992,1845,8,462,2010,"WD ",189
"78",7892,6,1979,918,5,264,2010,"WD ",99.5
"79",7175,6,1984,752,4,264,2010,"WD ",125
"80",9453,7,2003,1744,7,457,2010,"WD ",194.5
"81",9672,6,1985,1097,6,480,2010,"WD ",152
"82",8400,6,1981,1564,7,476,2010,"WD ",171
"83",9800,5,1950,1012,5,429,2010,"WD ",67.5
"84",8930,6,1978,1902,8,539,2010,"WD ",112
"85",11782,5,1995,1155,6,576,2010,"WD ",148
"86",8450,5,2009,894,5,336,2010,"WD ",138.5
"87",9819,5,1967,900,5,280,2010,"WD ",122
"88",7500,5,1963,1040,5,308,2010,"WD ",133
"89",6897,5,2010,1040,6,260,2010,"WD ",127
"90",15410,6,2002,1494,7,461,2010,"WD ",169
"91",10186,7,1992,1923,8,564,2010,"WD ",190
"92",13143,8,1993,2349,9,762,2010,"WD ",362.5
"93",11134,8,1993,2225,7,713,2010,"WD ",285
"94",4835,7,2005,1488,6,506,2010,"WD ",260
"95",3515,7,2004,1680,3,588,2010,"WD ",190
"96",3215,7,2004,1200,4,480,2010,"ConLD",155
"97",3182,7,2005,1200,4,480,2010,"WD ",151
"98",2544,7,2005,1200,4,480,2010,"WD ",149.5
"99",2544,6,2005,1236,4,480,2010,"WD ",152
"100",4403,7,2009,1478,7,484,2010,"New",222
"101",2117,6,2000,1573,5,440,2010,"WD ",177.5
"102",2980,6,2000,1512,5,440,2010,"WD ",177
"103",2572,7,1999,1416,6,484,2010,"WD ",155
"104",2403,7,2003,1080,4,496,2010,"WD ",147.11
"105",12853,8,2010,1418,6,852,2010,"New",267.916
"106",7379,8,2000,1848,7,592,2010,"WD ",254
"107",4420,8,1980,788,3,484,2010,"WD ",155
"108",3880,8,1978,1226,4,484,2010,"WD ",206
"109",13517,6,2005,1479,6,475,2010,"WD ",130.5
"110",8000,7,2002,1492,6,596,2010,"WD ",230
"111",10456,6,1967,1829,8,535,2010,"WD ",218.5
"112",10791,6,1993,2495,9,660,2010,"WD ",243.5
"113",10603,6,2001,1610,6,480,2010,"WD ",205
"114",18837,6,1978,1891,7,678,2010,"WD ",212.5
"115",10421,7,1988,1714,7,496,2010,"WD ",196.5
"116",9360,6,2006,1381,5,676,2010,"WD ",197.5
"117",9600,6,1971,1645,7,441,2010,"WD ",171
"118",9600,5,1966,1232,6,490,2010,"WD ",142.25
"119",9790,6,1963,1328,6,528,2010,"WD ",143
"120",9320,4,1959,1225,6,0,2010,"WD ",128.95
"121",9900,5,1966,1209,6,504,2010,"ConLD",159
"122",9680,5,1967,1510,6,517,2010,"WD ",178.9
"123",10600,6,1964,1775,8,480,2010,"COD",136.3
"124",14112,5,1964,1152,6,484,2010,"WD ",180.5
"125",8800,6,1963,1054,6,480,2010,"WD ",137.5
"126",13260,5,2001,1728,10,0,2010,"Oth",84.9
"127",9717,5,1996,1078,5,240,2010,"WD ",142.125
"128",9724,5,2002,2461,7,400,2010,"WD ",197.6
"129",17360,6,1950,1556,6,470,2010,"WD ",172.5
"130",7207,5,2008,858,4,0,2010,"WD ",116.5
"131",5350,3,1966,1306,6,0,2010,"WD ",76.5
"132",9920,5,1954,1063,6,280,2010,"WD ",128
"133",9600,6,1972,1520,7,364,2010,"WD ",153
"134",7800,5,1954,1268,7,244,2010,"WD ",132
"135",11380,6,2008,1128,5,315,2010,"WD ",178
"136",11600,5,1960,2274,12,480,2010,"WD ",154.3
"137",19900,7,1989,2207,7,576,2010,"WD ",180
"138",16492,6,2002,1888,6,578,2010,"WD ",190
"139",8267,5,1958,1604,8,576,2010,"WD ",135
"140",8197,7,2009,1480,7,620,2010,"WD ",214
"141",8050,5,1959,1143,6,308,2010,"WD ",136
"142",10552,5,1959,1700,6,447,2010,"WD ",165.5
"143",8400,5,1957,1314,5,294,2010,"WD ",145
"144",8760,6,1959,1194,6,312,2010,"WD ",148
"145",12160,5,1959,1188,6,531,2010,"COD",142
"146",9300,5,1960,1264,6,461,2010,"WD ",167.5
"147",10725,5,1959,1206,6,312,2010,"WD ",108.538
"148",10032,6,1959,1580,6,440,2010,"WD ",159.5
"149",8382,4,1956,1337,5,263,2010,"WD ",108
"150",10950,5,1952,1064,4,318,2010,"WD ",135
"151",10895,5,1955,972,5,305,2010,"WD ",122.5
"152",13587,5,1958,988,5,264,2010,"WD ",119
"153",7922,5,2007,1057,5,246,2010,"WD ",109
"154",7898,4,1994,985,4,676,2010,"WD ",105
"155",7200,5,2007,827,5,392,2010,"WD ",107.5
"156",10200,5,2003,1086,6,490,2010,"WD ",144.9
"157",5868,5,2000,936,4,308,2010,"WD ",129
"158",17503,6,1950,1458,6,330,2010,"WD ",97.5
"159",6979,6,1980,1056,4,576,2010,"WD ",144
"160",9830,5,2006,1287,7,576,2010,"WD ",162
"161",11275,7,2007,2978,11,564,2010,"WD ",242
"162",8064,6,2004,1224,5,280,2010,"WD ",132
"163",7500,5,1994,1246,6,305,2010,"WD ",154
"164",8520,5,1952,1385,6,720,2010,"WD ",166
"165",7200,5,2000,900,5,576,2010,"WD ",134.8
"166",10000,6,1962,1116,5,440,2010,"WD ",160
"167",7635,5,1960,1175,6,484,2010,"WD ",148
"168",9760,6,1984,1395,7,440,2010,"WD ",192
"169",7700,6,1966,1839,7,442,2010,"WD ",155
"170",4800,4,1954,1844,9,240,2010,"COD",80.4
"171",8800,4,2004,1140,7,0,2010,"WD ",96.5
"172",4485,5,1950,936,5,0,2010,"WD ",109.5
"173",8960,5,1950,1028,5,360,2010,"WD ",115
"174",5805,5,1957,1347,6,551,2010,"WD ",143
"175",5790,3,1950,1605,8,379,2010,"WD ",107.4
"176",4608,4,1950,747,4,220,2010,"WD ",80
"177",7200,5,1992,804,4,240,2010,"WD ",119
"178",5500,5,2001,1316,6,484,2010,"WD ",130
"179",6900,6,2000,1251,6,240,2010,"WD ",119
"180",11851,5,2009,1633,7,240,2010,"WD ",129
"181",8239,5,1962,1245,6,315,2010,"WD ",100
"182",9656,2,1970,832,5,780,2010,"WD ",12.789
"183",8520,6,2003,720,5,484,2010,"WD ",105.9
"184",9600,8,2003,1566,7,288,2010,"WD ",150
"185",10800,5,1950,1652,7,416,2010,"WD ",139
"186",9000,8,2002,2268,7,624,2010,"WD ",240
"187",9045,5,1950,2256,12,0,2010,"WD ",76.5
"188",7407,6,1996,1236,6,923,2010,"WD ",149.7
"189",7740,4,1950,1363,6,528,2010,"WD ",125.5
"190",11340,4,1950,2290,11,560,2010,"WD ",122.5
"191",10560,6,1994,1470,6,624,2010,"WD ",140.75
"192",5830,5,1997,1612,7,363,2010,"WD ",128.5
"193",7793,7,2005,2068,8,315,2010,"WD ",209.5
"194",5000,4,1950,765,4,200,2010,"WD ",87
"195",6000,6,1950,1132,5,240,2010,"WD ",134
"196",6000,6,1950,1196,6,576,2010,"WD ",128
"197",6360,5,1950,1453,7,240,2010,"WD ",132
"198",6000,6,1950,1416,6,312,2010,"WD ",139.9
"199",6240,5,1980,1040,5,624,2010,"WD ",123.9
"200",6240,5,1950,1536,7,480,2010,"WD ",138.4
"201",6120,6,1950,1068,5,288,2010,"WD ",109.5
"202",10300,7,1950,1710,9,480,2010,"WD ",140
"203",8094,4,1950,1962,9,572,2010,"WD ",149.5
"204",12900,6,2009,1560,7,0,2010,"WD ",159.9
"205",3068,6,1993,1324,6,180,2010,"WD ",122
"206",8472,5,1963,816,5,516,2010,"WD ",110
"207",5600,4,1950,1092,7,0,2010,"WD ",55
"208",7630,5,1996,1812,8,672,2010,"WD ",140
"209",24090,7,1950,2403,10,349,2010,"COD",244.4
"210",15263,5,1959,1675,8,365,2010,"WD ",173
"211",10632,5,1950,1224,6,180,2010,"COD",107.5
"212",9900,5,1950,1392,6,0,2010,"ConLD",100
"213",6001,6,1950,919,5,231,2010,"WD ",95
"214",6449,4,1950,1884,7,0,2010,"WD ",93.369
"215",6048,5,1950,1680,7,450,2010,"COD",114.9
"216",6342,5,1996,1020,6,0,2010,"WD ",94
"217",10773,4,1967,1832,8,0,2010,"WD ",136
"218",10778,4,1968,1768,8,0,2010,"WD ",136.5
"219",11625,5,1965,1039,6,504,2010,"WD ",131.5
"220",11341,5,1996,1392,5,528,2010,"WD ",121.5
"221",8521,5,1967,912,5,336,2010,"WD ",125
"222",8246,5,2001,1060,6,270,2010,"WD ",154
"223",7800,5,2008,892,5,416,2010,"WD ",137.9
"224",9364,6,1969,1352,7,299,2010,"WD ",158
"225",7832,5,1968,864,4,280,2010,"WD ",137.25
"226",7424,5,1978,1373,5,591,2010,"WD ",160.25
"227",11227,5,1968,1440,7,480,2010,"WD ",163
"228",11616,6,1978,1386,6,440,2010,"WD ",158.9
"229",14000,7,1997,2260,7,533,2010,"WD ",328
"230",20062,7,2001,1483,4,690,2010,"WD ",270
"231",9259,4,1950,756,4,440,2010,"WD ",85
"232",9600,4,1995,1067,4,436,2010,"WD ",128
"233",23595,7,1979,1524,4,586,2010,"WD ",260
"234",17082,6,1992,1981,8,522,2010,"WD ",230
"235",18600,3,1990,1610,8,480,2010,"WD ",124
"236",10625,5,1950,835,5,366,2010,"COD",83
"237",11479,6,1987,1074,6,467,2010,"WD ",144.5
"238",9571,5,1956,1144,6,596,2010,"WD ",129
"239",9350,4,1979,1531,8,209,2010,"WD ",127
"240",9525,5,1998,1172,5,366,2010,"WD ",128
"241",10420,6,2009,1212,6,460,2010,"WD ",186
"242",17485,7,2010,1508,5,572,2010,"Con",308.03
"243",11200,5,1964,1298,5,504,2010,"COD",114
"244",11100,4,2006,930,6,308,2010,"WD ",84.9
"245",9206,6,1985,1732,7,476,2010,"WD ",178
"246",11980,7,1987,1433,4,528,2010,"WD ",270
"247",12361,6,1993,1802,8,1017,2010,"WD ",218
"248",9938,7,1994,1949,8,574,2010,"WD ",236
"249",9069,6,1992,996,5,564,2010,"WD ",147
"250",10475,8,2008,1694,7,776,2010,"WD ",245.35
"251",6762,7,2006,1208,6,632,2010,"WD ",206
"252",10402,7,2009,1226,6,740,2010,"WD ",198.9
"253",7360,7,2010,1222,6,615,2010,"WD ",187
"254",12376,7,1990,3222,11,594,2010,"WD ",320
"255",14235,6,1993,1445,6,484,2010,"WD ",138.5
"256",8816,6,1971,1052,6,440,2010,"WD ",155
"257",11105,5,1996,965,4,580,2010,"WD ",159
"258",9337,7,1998,1692,8,513,2010,"WD ",191
"259",8750,6,1998,1682,7,523,2010,"WD ",200.5
"260",15240,5,2004,1026,5,308,2010,"WD ",150
"261",10900,6,1977,1392,6,299,2010,"WD ",161.75
"262",10650,5,1976,894,5,308,2010,"WD ",128.2
"263",7480,5,1972,876,5,484,2010,"WD ",127
"264",10389,8,2003,1978,8,850,2010,"WD ",318
"265",11423,8,2002,1601,6,670,2010,"WD ",272
"266",9548,7,2003,1829,7,613,2010,"WD ",237
"267",9375,7,1997,2098,9,621,2010,"WD ",240
"268",12137,7,1998,1661,6,598,2010,"WD ",224.9
"269",4435,6,2003,848,4,420,2010,"WD ",143.75
"270",4426,6,2004,848,3,420,2010,"WD ",143
"271",10635,8,2003,1668,8,502,2010,"WD ",232
"272",8400,7,2005,1484,7,606,2010,"WD ",213
"273",8773,7,2004,1414,6,494,2010,"WD ",185.5
"274",8777,3,2007,640,5,240,2010,"ConLD",84.9
"275",8842,5,1954,992,6,319,2010,"Oth",155.891
"276",9825,5,1965,1664,8,0,2010,"WD ",100
"277",10044,5,1968,1196,6,336,2010,"WD ",144
"278",11792,4,1950,1120,5,480,2010,"WD ",64
"279",6305,6,1975,1096,5,352,2010,"WD ",125.2
"280",7819,6,1976,1117,6,672,2010,"WD ",107
"281",6410,4,1958,960,5,0,2010,"WD ",90
"282",8546,4,2004,1121,5,440,2010,"WD ",140
"283",8741,6,1950,1487,7,220,2010,"WD ",113
"284",12180,4,1950,924,5,280,2010,"WD ",80
"285",8562,5,2002,1526,7,364,2010,"WD ",144.5
"286",4853,5,1999,1296,5,260,2010,"WD ",104
"287",6858,6,1950,1647,6,216,2010,"WD ",128
"288",8212,3,1950,864,5,200,2010,"WD ",58.5
"289",5000,5,1950,1691,6,308,2010,"WD ",127
"290",7890,6,1950,856,4,399,2010,"WD ",126
"291",7200,4,1967,2650,10,0,2010,"WD ",160
"292",9839,5,1950,1666,7,0,2010,"WD ",100
"293",9638,6,1990,2447,10,336,2010,"WD ",169
"294",10452,7,1985,2133,8,312,2010,"WD ",257.5
"295",15600,5,1991,2177,11,484,2010,"WD ",215
"296",9042,7,2006,2340,9,252,2010,"WD ",266.5
"297",17500,7,2002,1902,7,567,2010,"WD ",335
"298",19645,7,2007,1652,6,473,2010,"WD ",203.135
"299",3907,8,1989,1034,4,598,2010,"WD ",185
"300",3907,8,1989,1191,5,531,2010,"WD ",162.5
"301",15602,7,1997,1801,6,484,2010,"WD ",289
"302",5436,4,2007,1154,7,240,2010,"WD ",125.5
"303",8154,2,1950,540,4,200,2010,"ConLw",82
"304",9140,6,1975,1107,5,625,2010,"COD",110
"305",7500,4,1950,1128,6,528,2010,"COD",68.4
"306",8712,4,1950,1178,7,384,2010,"WD ",102.776
"307",8712,5,1952,1044,4,504,2010,"WD ",55.993
"308",8712,4,1950,952,5,330,2010,"WD ",50.138
"309",3811,8,2005,1646,5,525,2010,"WD ",246
"310",11050,8,1999,1916,8,741,2010,"WD ",254.9
"311",9620,6,1977,1285,6,473,2010,"WD ",190
"312",9196,7,2003,1560,7,573,2010,"WD ",201
"313",12328,6,1976,1034,6,888,2010,"WD ",169.9
"314",12760,6,1976,2048,9,776,2010,"ConLD",170
"315",57200,5,1950,1687,7,572,2010,"WD ",160
"316",11896,7,2008,1346,6,660,2010,"WD ",220
"317",9803,7,2010,1214,6,520,2010,"New",179.781
"318",9802,5,2007,1444,7,400,2010,"WD ",174
"319",12003,8,2010,1968,8,680,2010,"New",269.5
"320",11316,7,2003,1894,8,510,2010,"WD ",214.9
"321",14191,8,2002,1908,9,431,2010,"WD ",202.9
"322",13214,9,2009,2018,10,746,2010,"WD ",378.5
"323",15300,5,1977,1264,7,528,2010,"WD ",169
"324",10114,5,2005,1430,7,624,2010,"WD ",173.5
"325",9400,6,1971,1824,8,0,2010,"WD ",139
"326",11875,5,1999,1344,7,686,2010,"WD ",166.5
"327",1974,4,1973,1092,6,286,2010,"WD ",83.5
"328",2394,5,1973,945,5,253,2010,"WD ",119.5
"329",2592,5,1976,1112,4,336,2010,"WD ",85
"330",1476,4,1970,1092,5,0,2010,"WD ",76
"331",1491,4,1972,630,3,0,2010,"WD ",75.5
"332",1900,4,1970,1092,5,0,2010,"WD ",88.25
"333",1890,4,1972,1092,5,286,2010,"WD ",85.5
"334",6953,5,2004,874,5,352,2010,"ConLD",130
"335",26142,5,1962,1188,6,312,2010,"WD ",157.9
"336",12887,5,1984,833,5,495,2010,"WD ",149.9
"337",7700,5,1986,2432,10,616,2010,"WD ",159
"338",10475,5,1991,1274,6,576,2010,"WD ",136
"339",10544,5,1969,1479,8,275,2010,"WD ",161
"340",9892,8,1995,1803,6,482,2010,"WD ",285
"341",12961,6,1994,1797,7,616,2010,"WD ",231
"342",13008,6,1956,882,5,502,2009,"WD ",124.5
"343",10200,6,1974,1434,7,528,2009,"WD ",157
"344",13860,8,1995,2704,9,538,2009,"WD ",345
"345",10179,6,1997,1608,7,470,2009,"WD ",189.5
"346",11792,8,2003,2283,9,632,2009,"WD ",270
"347",8400,7,1997,1628,7,390,2009,"WD ",189
"348",14892,9,2007,1746,7,758,2009,"WD ",377.5
"349",8530,7,1996,1474,7,400,2009,"WD ",168.5
"350",7296,8,2005,2522,8,564,2009,"WD ",375
"351",5664,8,2000,1659,5,499,2009,"WD ",278
"352",7380,8,1998,1478,5,495,2009,"WD ",240
"353",8013,8,1996,1734,6,528,2009,"WD ",239.5
"354",8923,7,1998,1382,7,396,2009,"WD ",177.5
"355",10141,7,1998,1718,7,427,2009,"WD ",185
"356",7500,6,1999,1636,7,440,2009,"WD ",191
"357",7837,6,1994,1571,7,380,2009,"WD ",178
"358",9765,6,1993,1470,6,420,2009,"WD ",185
"359",8803,6,1995,1516,7,409,2009,"WD ",181.316
"360",7250,6,1993,1190,6,430,2009,"WD ",166
"361",9636,6,1993,1593,7,389,2009,"WD ",178
"362",8125,6,1995,1481,6,343,2009,"WD ",174
"363",9248,6,1992,1167,6,400,2009,"WD ",173
"364",10762,7,1999,1983,9,490,2009,"WD ",225
"365",11851,7,1990,1442,5,500,2009,"WD ",180.5
"366",5814,8,1984,1360,4,565,2009,"COD",187.5
"367",17423,9,2009,2234,9,1166,2009,"New",501.837
"368",11844,8,2008,2046,7,834,2009,"New",372.5
"369",16158,7,2005,1530,7,430,2009,"WD ",260
"370",11900,5,1977,1934,6,567,2009,"WD ",185
"371",13005,7,1980,2353,10,484,2009,"WD ",260
"372",17043,6,1998,1586,7,435,2009,"WD ",181
"373",11900,7,1977,1411,6,544,2009,"WD ",82.5
"374",16635,6,2000,1602,8,529,2009,"WD ",215
"375",13250,7,1978,2050,8,529,2009,"WD ",154
"376",10928,6,1986,1671,7,484,2009,"WD ",200
"377",12388,7,1991,2673,9,441,2009,"WD ",249
"378",14115,7,1980,1472,6,588,2009,"WD ",187.5
"379",11088,6,1998,1707,7,479,2009,"WD ",184
"380",9600,8,1981,2524,9,542,2009,"WD ",278
"381",11880,7,1978,1601,7,478,2009,"COD",157
"382",10400,7,1976,1370,6,479,2009,"WD ",152
"383",10304,5,1976,1868,9,484,2009,"WD ",197.5
"384",7000,7,2003,1884,7,581,2009,"WD ",240.9
"385",8004,8,2009,1935,8,552,2009,"New",263.435
"386",7500,8,2001,1874,7,588,2009,"WD ",220
"387",8470,8,2002,1811,7,565,2009,"WD ",235
"388",9373,5,1975,1621,7,478,2009,"WD ",213
"389",10140,6,1974,1116,6,528,2009,"WD ",167.9
"390",11050,7,1975,1193,5,506,2009,"WD ",158
"391",10140,6,1974,1350,7,478,2009,"WD ",165
"392",10448,6,1972,2119,7,583,2009,"COD",158
"393",9000,5,1974,1792,8,0,2009,"WD ",136
"394",8750,5,1970,1002,5,902,2009,"WD ",148.5
"395",7930,6,2005,1026,5,440,2009,"WD ",156
"396",7830,5,1970,1180,6,477,2009,"COD",128
"397",8510,5,1971,1050,6,336,2009,"WD ",143
"398",7038,4,1970,864,5,576,2009,"WD ",76.5
"399",6960,4,1970,864,5,660,2009,"WD ",120.5
"400",8120,4,1970,864,5,463,2009,"WD ",124.5
"401",10500,4,1971,864,4,576,2009,"WD ",97
"402",9000,4,2006,864,5,576,2009,"WD ",130
"403",1680,6,1973,987,5,264,2009,"WD ",111
"404",2368,5,1970,1365,7,440,2009,"WD ",125
"405",1680,5,1971,1302,6,280,2009,"COD",112
"406",1680,6,1972,987,5,288,2009,"WD ",97
"407",1680,6,2007,987,5,264,2009,"WD ",118
"408",1680,5,1972,1302,6,264,2009,"WD ",119.5
"409",4928,6,1976,958,5,440,2009,"WD ",143.75
"410",2308,6,1976,1548,7,440,2009,"WD ",146
"411",2280,6,1976,1456,7,440,2009,"WD ",148.5
"412",2280,7,1975,1055,4,440,2009,"WD ",123
"413",2308,6,1974,1322,6,440,2009,"WD ",147
"414",2349,6,1977,1456,6,440,2009,"WD ",137.9
"415",2364,6,1978,1548,7,440,2009,"WD ",147
"416",2289,6,1978,1441,7,440,2009,"WD ",148.5
"417",2364,6,1978,1456,6,440,2009,"WD ",138
"418",2104,7,1976,836,5,345,2009,"WD ",128.5
"419",7150,5,1967,892,5,288,2009,"WD ",100
"420",10710,5,2004,1120,5,656,2009,"WD ",148.8
"421",12456,10,2007,1718,7,786,2009,"WD ",337.5
"422",14257,9,2007,2772,10,754,2009,"WD ",462
"423",13518,9,2009,3140,11,820,2009,"New",485
"424",15431,10,2008,2402,10,672,2009,"WD ",555
"425",13173,9,2007,1652,6,840,2009,"WD ",325
"426",14230,8,2007,1600,7,890,2009,"WD ",256.3
"427",12704,8,2009,2042,8,1390,2009,"New",253.293
"428",12350,9,2009,2690,8,864,2009,"New",398.8
"429",11308,9,2008,2184,10,836,2009,"WD ",335
"430",12350,9,2008,2020,7,896,2009,"WD ",404
"431",12220,10,2009,2020,9,900,2009,"New",402.861
"432",13478,10,2008,2296,10,842,2009,"ConLI",451.95
"433",13693,10,2007,2674,8,762,2009,"WD ",610
"434",13891,9,2009,2822,12,1020,2009,"New",582.933
"435",11578,9,2008,1736,7,834,2009,"WD ",360
"436",16870,8,2005,1782,7,932,2009,"WD ",296
"437",23303,8,2007,2520,10,640,2009,"WD ",409.9
"438",11146,8,2006,1717,7,908,2009,"WD ",255.5
"439",10367,9,2008,1743,8,927,2009,"ConLI",335
"440",9591,8,2005,1713,7,856,2009,"WD ",274.9
"441",10872,9,2006,1531,6,700,2009,"WD ",300
"442",13514,9,2008,1808,7,850,2009,"WD ",324
"443",8834,9,2005,2224,10,738,2009,"WD ",350
"444",11362,8,2005,1836,7,862,2009,"WD ",280
"445",10655,8,2004,1629,7,880,2009,"WD ",284
"446",12878,7,2004,1760,8,583,2009,"WD ",269.5
"447",9541,7,2009,1502,7,644,2009,"New",233.17
"448",13472,10,2003,2392,8,968,2009,"WD ",386.25
"449",15274,9,2003,2452,10,886,2009,"WD ",445
"450",13262,8,2004,2400,10,730,2009,"WD ",290
"451",9658,8,2006,1606,6,871,2009,"WD ",255.9
"452",6904,6,2005,1358,6,484,2009,"WD ",213
"453",5381,6,2005,1306,5,624,2009,"WD ",196
"454",5122,6,2005,1306,5,624,2009,"WD ",184.5
"455",10307,7,2008,1358,6,484,2009,"WD ",212.5
"456",5001,7,2008,1314,6,626,2009,"WD ",230
"457",14836,10,2005,2492,8,949,2009,"WD ",552
"458",15262,8,2004,2200,8,685,2009,"WD ",382.5
"459",7390,9,2009,1884,6,649,2009,"New",320
"460",6472,9,2008,1456,6,539,2009,"WD ",248.5
"461",16770,8,2003,1712,8,701,2009,"WD ",286.5
"462",6240,8,2006,1324,6,550,2009,"WD ",254
"463",3480,7,2003,1405,6,478,2009,"WD ",173
"464",2268,7,2004,1626,6,474,2009,"WD ",173
"465",10928,7,2005,1456,8,390,2009,"WD ",184
"466",8918,6,2006,1490,7,392,2009,"WD ",167.8
"467",12589,6,2005,1484,8,390,2009,"WD ",174
"468",11911,6,2005,1560,6,400,2009,"WD ",174
"469",3684,7,2007,1555,7,660,2009,"WD ",174
"470",3635,7,2007,1569,7,660,2009,"WD ",175.9
"471",3182,7,2006,1555,7,430,2009,"WD ",192.5
"472",3182,7,2006,1504,7,457,2009,"WD ",181
"473",3182,7,2006,1220,5,397,2009,"WD ",180
"474",3182,7,2006,1145,5,397,2009,"WD ",160.2
"475",7795,7,2005,1432,6,432,2009,"WD ",188.5
"476",8068,6,2002,2267,8,390,2009,"ConLI",200
"477",9434,7,2005,1374,6,400,2009,"WD ",170
"478",7984,7,2005,1630,7,436,2009,"WD ",189.5
"479",7750,8,2002,1419,7,527,2009,"WD ",184.1
"480",10125,7,2004,1594,7,434,2009,"WD ",195.5
"481",8965,7,2003,1489,8,400,2009,"WD ",192
"482",8174,7,2003,1342,7,393,2009,"WD ",178
"483",5063,7,2008,1314,6,626,2009,"ConLw",207.5
"484",8795,7,2000,2256,8,554,2009,"WD ",236
